ID condition sub type order session sound_dist concept_dist answer RT score
A1X5IZPCRLL0Z7 sound 0 pre 1 0 NA NA 1 5089 1.0
A1X5IZPCRLL0Z7 sound 0 pre 2 0 NA NA 1 2305 1.0
A1X5IZPCRLL0Z7 sound 0 pre 4 0 NA NA 0 1618 1.0
A1X5IZPCRLL0Z7 sound 0 pre 3 0 NA NA 0 1523 1.0
A1X5IZPCRLL0Z7 sound 0 real 2 1 2 2 0 2521 1.0
A1X5IZPCRLL0Z7 sound 0 real 1 1 1 1 0 5531 1.0
A1X5IZPCRLL0Z7 sound 0 real 4 1 3 4 0 2652 1.0
A1X5IZPCRLL0Z7 sound 0 real 3 1 4 3 1 2338 1.0
A1X5IZPCRLL0Z7 sound 0 real 2 2 1 2 0 2340 1.0
A1X5IZPCRLL0Z7 sound 0 real 3 2 4 3 1 2066 1.0
A1X5IZPCRLL0Z7 sound 0 real 4 2 2 4 0 2403 1.0
A1X5IZPCRLL0Z7 sound 0 real 1 2 3 1 1 2156 1.0
AFHYKBNXB3FQ2 sound 0 pre 1 0 NA NA 0 3355 0.5
AFHYKBNXB3FQ2 sound 0 pre 3 0 NA NA 0 524 0.5
AFHYKBNXB3FQ2 sound 0 pre 4 0 NA NA 0 3303 0.5
AFHYKBNXB3FQ2 sound 0 pre 2 0 NA NA 0 3169 0.5
AFHYKBNXB3FQ2 sound 0 real 4 1 1 4 0 2859 0.5
AFHYKBNXB3FQ2 sound 0 real 1 1 4 1 1 2454 0.5
AFHYKBNXB3FQ2 sound 0 real 3 1 2 3 1 2098 0.5
AFHYKBNXB3FQ2 sound 0 real 2 1 3 2 0 2410 0.5
AFHYKBNXB3FQ2 sound 0 real 2 2 4 2 0 2992 0.5
AFHYKBNXB3FQ2 sound 0 real 1 2 2 1 1 3791 0.5
AFHYKBNXB3FQ2 sound 0 real 4 2 1 4 0 2642 0.5
AFHYKBNXB3FQ2 sound 0 real 3 2 3 3 1 2839 0.5
ATB9VOR75W6P3 sound 0 pre 4 0 NA NA 0 4001 1.0
ATB9VOR75W6P3 sound 0 pre 1 0 NA NA 1 2575 1.0
ATB9VOR75W6P3 sound 0 pre 3 0 NA NA 0 2146 1.0
ATB9VOR75W6P3 sound 0 pre 2 0 NA NA 1 2149 1.0
ATB9VOR75W6P3 sound 0 real 4 1 4 4 0 2821 1.0
ATB9VOR75W6P3 sound 0 real 3 1 1 3 0 2163 1.0
ATB9VOR75W6P3 sound 0 real 1 1 2 1 0 2413 1.0
ATB9VOR75W6P3 sound 0 real 2 1 3 2 0 2473 1.0
ATB9VOR75W6P3 sound 0 real 2 2 4 2 1 2405 1.0
ATB9VOR75W6P3 sound 0 real 3 2 3 3 1 2233 1.0
ATB9VOR75W6P3 sound 0 real 1 2 2 1 0 2562 1.0
ATB9VOR75W6P3 sound 0 real 4 2 1 4 0 2394 1.0
A1SIXXTFZDSKMA sound 0 pre 3 0 NA NA 0 20364 1.0
A1SIXXTFZDSKMA sound 0 pre 2 0 NA NA 1 3029 1.0
A1SIXXTFZDSKMA sound 0 pre 1 0 NA NA 1 2235 1.0
A1SIXXTFZDSKMA sound 0 pre 4 0 NA NA 0 1996 1.0
A1SIXXTFZDSKMA sound 0 real 3 1 4 3 1 2892 1.0
A1SIXXTFZDSKMA sound 0 real 2 1 1 2 0 2225 1.0
A1SIXXTFZDSKMA sound 0 real 1 1 3 1 1 2220 1.0
A1SIXXTFZDSKMA sound 0 real 4 1 2 4 0 2111 1.0
A1SIXXTFZDSKMA sound 0 real 1 2 3 1 1 2214 1.0
A1SIXXTFZDSKMA sound 0 real 2 2 1 2 0 1964 1.0
A1SIXXTFZDSKMA sound 0 real 3 2 2 3 1 2151 1.0
A1SIXXTFZDSKMA sound 0 real 4 2 4 4 1 2155 1.0
A2COVA7FSAIH3D sound 0 pre 2 0 NA NA 1 2699 1.0
A2COVA7FSAIH3D sound 0 pre 1 0 NA NA 1 1468 1.0
A2COVA7FSAIH3D sound 0 pre 4 0 NA NA 0 1854 1.0
A2COVA7FSAIH3D sound 0 pre 3 0 NA NA 0 1846 1.0
A2COVA7FSAIH3D sound 0 real 3 1 3 3 0 2580 1.0
A2COVA7FSAIH3D sound 0 real 4 1 4 4 1 2647 1.0
A2COVA7FSAIH3D sound 0 real 2 1 1 2 0 2446 1.0
A2COVA7FSAIH3D sound 0 real 1 1 2 1 1 2276 1.0
A2COVA7FSAIH3D sound 0 real 1 2 4 1 1 2273 1.0
A2COVA7FSAIH3D sound 0 real 3 2 1 3 0 2544 1.0
A2COVA7FSAIH3D sound 0 real 2 2 3 2 1 2146 1.0
A2COVA7FSAIH3D sound 0 real 4 2 2 4 1 2239 1.0
A1XQE5Q35OH54B sound 0 pre 1 0 NA NA 1 3430 1.0
A1XQE5Q35OH54B sound 0 pre 3 0 NA NA 0 2235 1.0
A1XQE5Q35OH54B sound 0 pre 4 0 NA NA 0 2184 1.0
A1XQE5Q35OH54B sound 0 pre 2 0 NA NA 1 2666 1.0
A1XQE5Q35OH54B sound 0 real 1 1 2 1 0 2417 1.0
A1XQE5Q35OH54B sound 0 real 3 1 4 3 1 2281 1.0
A1XQE5Q35OH54B sound 0 real 2 1 3 2 1 2217 1.0
A1XQE5Q35OH54B sound 0 real 4 1 1 4 0 2371 1.0
A1XQE5Q35OH54B sound 0 real 1 2 2 1 0 2563 1.0
A1XQE5Q35OH54B sound 0 real 3 2 1 3 0 2449 1.0
A1XQE5Q35OH54B sound 0 real 4 2 3 4 1 2313 1.0
A1XQE5Q35OH54B sound 0 real 2 2 4 2 1 2241 1.0
AQ2INPVVXR1G0 sound 0 pre 4 0 NA NA 0 3850 1.0
AQ2INPVVXR1G0 sound 0 pre 1 0 NA NA 1 2402 1.0
AQ2INPVVXR1G0 sound 0 pre 2 0 NA NA 1 2355 1.0
AQ2INPVVXR1G0 sound 0 pre 3 0 NA NA 0 2019 1.0
AQ2INPVVXR1G0 sound 0 real 2 1 3 2 0 2695 1.0
AQ2INPVVXR1G0 sound 0 real 4 1 1 4 0 2435 1.0
AQ2INPVVXR1G0 sound 0 real 1 1 2 1 0 4378 1.0
AQ2INPVVXR1G0 sound 0 real 3 1 4 3 1 2252 1.0
AQ2INPVVXR1G0 sound 0 real 2 2 3 2 0 2418 1.0
AQ2INPVVXR1G0 sound 0 real 3 2 1 3 1 2275 1.0
AQ2INPVVXR1G0 sound 0 real 4 2 2 4 0 2379 1.0
