ID condition type sound_dist concept_dist answer RT left
subject1 pre pre NA NA 1 10864 choice1
subject1 pre pre NA NA 1 2904 choice1
subject1 pre pre NA NA 0 27182 choice1
subject1 pre pre NA NA 0 12246 choice1
subject1 pre pre NA NA 1 15939 choice1
subject1 pre pre NA NA 0 28458 choice1
subject1 pre pre NA NA 0 6257 choice1
subject1 pre pre NA NA 1 5509 choice1
subject1 pre pre NA NA 1 3918 choice1
subject1 pre pre NA NA 0 3307 choice1
subject1 pre pre NA NA 1 3221 choice1
subject1 joint real 1 2 0 11284 choice1
subject1 joint real 2 4 1 4206 choice1
subject1 joint real 3 3 0 5196 choice1
subject1 joint real 4 1 0 5341 choice1
subject1 sound real 2 2 0 16428 choice1
subject1 sound real 4 1 1 4641 choice1
subject1 sound real 1 4 0 5451 choice1
subject1 sound real 3 3 1 4014 choice1
subject1 concept real 1 1 0 3757 choice1
subject1 concept real 3 2 0 3019 choice1
subject1 concept real 4 3 0 2899 choice1
subject1 concept real 2 4 1 2908 choice1
subject2 pre pre NA NA 1 34004 choice1
subject2 pre pre NA NA 1 8947 choice1
subject2 pre pre NA NA 0 3852 choice1
subject2 pre pre NA NA 0 5616 choice1
subject2 pre pre NA NA 1 6870 choice1
subject2 pre pre NA NA 0 3213 choice1
subject2 pre pre NA NA 0 3172 choice1
subject2 pre pre NA NA 1 3338 choice1
subject2 pre pre NA NA 1 3600 choice1
subject2 pre pre NA NA 0 3796 choice1
subject2 pre pre NA NA 1 2669 choice1
subject2 joint real 4 1 1 4384 choice1
subject2 joint real 1 2 1 3608 choice1
subject2 joint real 2 4 1 4718 choice1
subject2 joint real 3 3 1 3539 choice1
subject2 sound real 1 3 1 4706 choice1
subject2 sound real 3 1 1 3025 choice1
subject2 sound real 2 4 1 3768 choice1
subject2 sound real 4 2 1 3976 choice1
subject2 concept real 4 1 1 3206 choice1
subject2 concept real 2 4 1 2899 choice1
subject2 concept real 1 2 1 2552 choice1
subject2 concept real 3 3 1 2652 choice1
subject3 pre pre NA NA 1 17227 choice2
subject3 pre pre NA NA 1 2670 choice2
subject3 pre pre NA NA 0 22162 choice2
subject3 pre pre NA NA 0 8793 choice2
subject3 pre pre NA NA 1 14762 choice2
subject3 pre pre NA NA 0 7471 choice2
subject3 pre pre NA NA 0 4767 choice2
subject3 pre pre NA NA 1 6971 choice2
subject3 pre pre NA NA 1 6401 choice2
subject3 pre pre NA NA 0 4602 choice2
subject3 pre pre NA NA 1 4137 choice2
subject3 joint real 2 4 1 4831 choice2
subject3 joint real 4 1 1 3263 choice2
subject3 joint real 3 3 1 1736 choice2
subject3 joint real 1 2 1 1959 choice2
subject3 sound real 4 3 1 4738 choice2
subject3 sound real 1 2 1 3101 choice2
subject3 sound real 3 1 1 1701 choice2
subject3 sound real 2 4 1 1961 choice2
subject3 concept real 3 2 1 3599 choice2
subject3 concept real 2 4 1 2706 choice2
subject3 concept real 4 1 1 2781 choice2
subject3 concept real 1 3 1 2949 choice2
subject4 pre pre NA NA 1 7691 choice1
subject4 pre pre NA NA 1 3653 choice1
subject4 pre pre NA NA 0 10203 choice1
subject4 pre pre NA NA 0 6187 choice1
subject4 pre pre NA NA 1 12475 choice1
subject4 pre pre NA NA 0 5221 choice1
subject4 pre pre NA NA 0 3417 choice1
subject4 pre pre NA NA 1 11472 choice1
subject4 pre pre NA NA 1 3804 choice1
subject4 pre pre NA NA 0 2511 choice1
subject4 pre pre NA NA 1 2829 choice1
subject4 joint real 1 2 0 9663 choice1
subject4 joint real 3 3 1 4290 choice1
subject4 joint real 2 4 1 5673 choice1
subject4 joint real 4 1 1 3779 choice1
subject4 sound real 1 4 0 3952 choice1
subject4 sound real 4 1 1 3656 choice1
subject4 sound real 3 2 1 3697 choice1
subject4 sound real 2 3 1 3856 choice1
subject4 concept real 2 3 1 2851 choice1
subject4 concept real 3 4 1 2792 choice1
subject4 concept real 4 1 1 2973 choice1
subject4 concept real 1 2 0 1922 choice1
subject5 pre pre NA NA 1 5928 choice2
subject5 pre pre NA NA 1 3261 choice2
subject5 pre pre NA NA 0 5251 choice2
subject5 pre pre NA NA 0 9954 choice2
subject5 pre pre NA NA 1 11135 choice2
subject5 pre pre NA NA 0 9276 choice2
subject5 pre pre NA NA 0 4477 choice2
subject5 pre pre NA NA 1 4447 choice2
subject5 pre pre NA NA 1 9879 choice2
subject5 pre pre NA NA 0 4258 choice2
subject5 pre pre NA NA 1 2945 choice2
subject5 joint real 1 2 1 5620 choice2
subject5 joint real 3 3 1 4253 choice2
subject5 joint real 2 4 1 4174 choice2
subject5 joint real 4 1 1 5677 choice2
subject5 sound real 4 2 1 5501 choice2
subject5 sound real 3 4 1 4172 choice2
subject5 sound real 2 1 1 4289 choice2
subject5 sound real 1 3 0 5505 choice2
subject5 concept real 1 2 1 4034 choice2
subject5 concept real 4 1 1 3070 choice2
subject5 concept real 3 4 1 3203 choice2
subject5 concept real 2 3 1 3425 choice2
subject6 pre pre NA NA 1 10603 choice1
subject6 pre pre NA NA 1 6266 choice1
subject6 pre pre NA NA 0 4794 choice1
subject6 pre pre NA NA 0 16853 choice1
subject6 pre pre NA NA 1 23001 choice1
subject6 pre pre NA NA 0 6859 choice1
subject6 pre pre NA NA 0 17316 choice1
subject6 pre pre NA NA 1 4483 choice1
subject6 pre pre NA NA 1 4819 choice1
subject6 pre pre NA NA 0 2972 choice1
subject6 pre pre NA NA 1 4209 choice1
subject6 joint real 4 1 0 14055 choice1
subject6 joint real 1 2 0 5508 choice1
subject6 joint real 2 4 1 5468 choice1
subject6 joint real 3 3 1 4131 choice1
subject6 sound real 4 2 1 5181 choice1
subject6 sound real 3 1 1 4961 choice1
subject6 sound real 1 4 1 3857 choice1
subject6 sound real 2 3 1 5707 choice1
subject6 concept real 4 3 1 6086 choice1
subject6 concept real 1 1 0 3219 choice1
subject6 concept real 3 4 1 2910 choice1
subject6 concept real 2 2 0 4038 choice1
subject7 pre pre NA NA 1 4918 choice1
subject7 pre pre NA NA 1 2828 choice1
subject7 pre pre NA NA 0 6576 choice1
subject7 pre pre NA NA 0 4167 choice1
subject7 pre pre NA NA 1 231 choice1
subject7 pre pre NA NA 0 6420 choice1
subject7 pre pre NA NA 0 4291 choice1
subject7 pre pre NA NA 1 3571 choice1
subject7 pre pre NA NA 1 3441 choice1
subject7 pre pre NA NA 0 2040 choice1
subject7 pre pre NA NA 1 3411 choice1
subject7 joint real 2 4 1 5594 choice1
subject7 joint real 1 2 1 5291 choice1
subject7 joint real 3 3 1 2832 choice1
subject7 joint real 4 1 1 2604 choice1
subject7 sound real 2 2 1 2257 choice1
subject7 sound real 4 4 1 1359 choice1
subject7 sound real 3 3 1 1413 choice1
subject7 sound real 1 1 1 1417 choice1
subject7 concept real 4 3 1 1750 choice1
subject7 concept real 2 4 1 1800 choice1
subject7 concept real 3 1 1 1325 choice1
subject7 concept real 1 2 1 1352 choice1
subject8 pre pre NA NA 1 11244 choice1
subject8 pre pre NA NA 1 4854 choice1
subject8 pre pre NA NA 0 8274 choice1
subject8 pre pre NA NA 0 20929 choice1
subject8 pre pre NA NA 1 20168 choice1
subject8 pre pre NA NA 0 6609 choice1
subject8 pre pre NA NA 0 7486 choice1
subject8 pre pre NA NA 1 12242 choice1
subject8 pre pre NA NA 1 4153 choice1
subject8 pre pre NA NA 0 2042 choice1
subject8 pre pre NA NA 1 2122 choice1
subject8 joint real 3 3 1 5886 choice1
subject8 joint real 2 4 1 8356 choice1
subject8 joint real 1 2 1 3231 choice1
subject8 joint real 4 1 0 7608 choice1
subject8 sound real 1 2 1 13269 choice1
subject8 sound real 2 3 0 8846 choice1
subject8 sound real 4 4 1 13467 choice1
subject8 sound real 3 1 0 9009 choice1
subject8 concept real 1 1 0 24543 choice1
subject8 concept real 4 4 1 2502 choice1
subject8 concept real 3 2 1 2036 choice1
subject8 concept real 2 3 1 1766 choice1
